Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,USA,2004 Summer,Rowing,Gold,28.0,195.0,97.0
F,CHI,1956 Summer,Athletics,Silver,23.0,176.0,70.0
M,GER,1964 Summer,Rowing,Silver,16.0,163.0,50.0
M,ITA,2012 Summer,Water Polo,Silver,26.0,192.0,102.0
M,ITA,2016 Summer,Water Polo,Bronze,30.0,192.0,102.0
F,ARG,2000 Summer,Hockey,Silver,26.0,165.0,60.0
F,ARG,2004 Summer,Hockey,Bronze,30.0,165.0,60.0
F,ARG,2008 Summer,Hockey,Bronze,34.0,165.0,60.0
F,ITA,2016 Summer,Water Polo,Silver,27.0,172.0,74.0
M,GER,2012 Summer,Canoeing,Bronze,23.0,183.0,75.0
M,JPN,1956 Summer,Gymnastics,Silver,21.0,154.0,53.0
M,JPN,1960 Summer,Gymnastics,Gold,25.0,154.0,53.0
M,JPN,1960 Summer,Gymnastics,Gold,25.0,154.0,53.0
M,JPN,1992 Summer,Gymnastics,Bronze,21.0,156.0,55.0
M,JPN,2004 Summer,Baseball,Bronze,28.0,183.0,85.0
M,GBR,1996 Summer,Sailing,Silver,19.0,183.0,90.0
M,GBR,2000 Summer,Sailing,Gold,23.0,183.0,90.0
M,GBR,2004 Summer,Sailing,Gold,27.0,183.0,90.0
M,GBR,2008 Summer,Sailing,Gold,31.0,183.0,90.0
M,GBR,2012 Summer,Sailing,Gold,35.0,183.0,90.0
M,USA,2000 Summer,Baseball,Gold,22.0,187.0,84.0
M,GBR,1968 Summer,Sailing,Bronze,34.0,185.0,85.0
M,AUS,1992 Summer,Cycling,Silver,21.0,173.0,65.0
M,AUS,1996 Summer,Cycling,Bronze,25.0,173.0,65.0
M,AUS,2000 Summer,Cycling,Gold,29.0,173.0,65.0
M,UKR,2008 Summer,Shooting,Gold,35.0,177.0,88.0
F,GRE,2000 Summer,Rhythmic Gymnastics,Bronze,17.0,167.0,45.0
M,NGR,2016 Summer,Football,Bronze,20.0,172.0,79.0
M,CUB,1992 Summer,Baseball,Gold,27.0,175.0,93.0
M,CUB,1996 Summer,Baseball,Gold,31.0,175.0,93.0
M,CUB,2000 Summer,Baseball,Silver,35.0,175.0,93.0
M,NGR,2008 Summer,Football,Silver,23.0,185.0,75.0
M,CAN,2016 Summer,Athletics,Bronze,20.0,180.0,62.0
F,NGR,1996 Summer,Athletics,Gold,24.0,164.0,57.0
M,GBR,1984 Summer,Athletics,Silver,25.0,185.0,81.0
M,GBR,1992 Summer,Athletics,Bronze,33.0,185.0,81.0
M,GBR,1992 Summer,Athletics,Bronze,33.0,185.0,81.0
M,JPN,1984 Summer,Wrestling,Silver,19.0,172.0,74.0
M,JPN,1992 Summer,Wrestling,Bronze,27.0,172.0,74.0
M,JPN,1992 Winter,Short Track Speed Skating,Bronze,24.0,169.0,64.0
M,TUR,1972 Summer,Wrestling,Silver,23.0,168.0,62.0
F,USA,1996 Summer,Football,Gold,30.0,178.0,68.0
