Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
Gold,22.0,164.0,61.0
Bronze,20.0,193.0,104.0
Silver,23.0,187.0,86.0
Silver,23.0,190.0,86.0
Gold,25.0,183.0,77.0
Gold,29.0,183.0,77.0
Bronze,24.0,181.0,75.0
Silver,20.0,178.0,68.0
Gold,23.0,160.0,54.0
Gold,34.0,178.0,80.0
Gold,25.0,191.0,97.0
Gold,33.0,183.0,89.0
Bronze,29.0,202.0,100.0
Bronze,33.0,183.0,86.0
Gold,24.0,178.0,141.0
Bronze,30.0,187.0,72.0
Silver,22.0,190.0,77.0
Gold,33.0,183.0,89.0
Silver,23.0,175.0,77.0
Silver,22.0,182.0,77.0
Bronze,21.0,200.0,86.0
Gold,23.0,172.0,68.0
Gold,23.0,172.0,68.0
Silver,23.0,172.0,68.0
Silver,31.0,172.0,68.0
Bronze,31.0,172.0,68.0
Gold,35.0,172.0,68.0
Bronze,35.0,172.0,68.0
Silver,27.0,177.0,72.0
Bronze,20.0,169.0,63.0
Silver,27.0,178.0,68.0
Silver,23.0,179.0,74.0
Bronze,28.0,186.0,93.0
Bronze,26.0,169.0,69.0
Silver,30.0,169.0,69.0
Silver,22.0,172.0,63.0
Gold,22.0,172.0,63.0
Silver,23.0,167.0,61.0
Silver,29.0,200.0,105.0
Bronze,30.0,183.0,71.0
Gold,24.0,158.0,58.0
Silver,26.0,180.0,80.0
Silver,30.0,180.0,80.0
Silver,34.0,180.0,80.0
Silver,34.0,186.0,95.0
Bronze,28.0,187.0,88.0
Bronze,25.0,190.0,92.0
Bronze,29.0,188.0,95.0
Silver,22.0,191.0,83.0
Silver,26.0,191.0,83.0
Bronze,30.0,173.0,77.0
Gold,19.0,168.0,53.0
Gold,24.0,194.0,125.0
Gold,28.0,194.0,125.0
Bronze,26.0,154.0,59.0
Silver,30.0,164.0,57.0
Silver,29.0,163.0,60.0
Bronze,26.0,183.0,89.0
Silver,31.0,170.0,72.0
Gold,22.0,179.0,77.0
Gold,26.0,179.0,77.0
Bronze,21.0,183.0,79.0
Silver,25.0,178.0,68.0
Silver,18.0,188.0,85.0
Bronze,30.0,188.0,85.0
Silver,24.0,180.0,82.0
Bronze,18.0,163.0,61.0
Bronze,24.0,177.0,60.0
Silver,28.0,177.0,60.0
Silver,27.0,190.0,88.0
Gold,25.0,191.0,118.0
Bronze,24.0,190.0,101.0
Gold,29.0,190.0,101.0
Silver,26.0,175.0,65.0
Silver,30.0,175.0,65.0
Silver,23.0,173.0,73.0
Gold,25.0,179.0,74.0
Silver,24.0,191.0,76.0
Gold,28.0,191.0,76.0
Bronze,32.0,191.0,76.0
Bronze,16.0,162.0,54.0
Silver,16.0,162.0,54.0
Silver,24.0,175.0,85.0
Gold,24.0,168.0,59.0
Gold,21.0,167.0,62.0
Gold,21.0,167.0,62.0
Bronze,24.0,173.0,70.0
Bronze,23.0,215.0,90.0
Bronze,34.0,170.0,58.0
Gold,21.0,180.0,85.0
Silver,19.0,166.0,60.0
Gold,19.0,166.0,60.0
Bronze,19.0,166.0,60.0
Gold,23.0,166.0,60.0
Silver,23.0,166.0,60.0
Gold,23.0,166.0,60.0
Silver,23.0,166.0,60.0
Gold,23.0,166.0,60.0
Bronze,23.0,166.0,60.0
Silver,27.0,166.0,60.0
Gold,27.0,166.0,60.0
Gold,27.0,166.0,60.0
Bronze,27.0,166.0,60.0
Bronze,25.0,174.0,70.0
Gold,22.0,192.0,91.0
Gold,26.0,192.0,91.0
Bronze,29.0,192.0,92.0
Gold,33.0,192.0,92.0
Bronze,28.0,180.0,82.0
Silver,25.0,181.0,97.0
